event_timestamp,version,batch_id,experiment_id,test_case_id,scenario,run_id,client_order_id,sync_direction,success,http_status,duration_seconds,error
2026-08-22T18:41:19.002,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-23-8f7a5edd,edge_to_cloud,True,201,0.356617,
2026-08-22T18:41:19.003,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-24-9632eefa,edge_to_cloud,True,201,0.35534,
2026-08-22T18:41:19.004,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-25-1be40dd7,edge_to_cloud,True,201,0.355003,
2026-08-22T18:41:19.005,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-26-af058ea9,edge_to_cloud,True,201,0.340106,
2026-08-22T18:41:19.006,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-27-9bc15343,edge_to_cloud,True,201,0.346348,
2026-08-22T18:41:19.007,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-28-6d0fd98b,edge_to_cloud,True,201,0.323634,
2026-08-22T18:41:19.008,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-29-1e538b95,edge_to_cloud,True,201,0.323256,
2026-08-22T18:41:19.009,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-1-30-fbba9b4e,edge_to_cloud,True,201,0.373749,
2026-08-22T18:41:19.010,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-2-1-5ac495c2,edge_to_cloud,True,201,0.346198,
2026-08-22T18:41:19.011,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-2-2-c58208a8,edge_to_cloud,True,201,0.342547,
2026-08-22T18:41:19.011,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-2-3-504547f3,edge_to_cloud,True,201,0.376811,
2026-08-22T18:41:19.012,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-2-4-fddad731,edge_to_cloud,True,201,0.43346,
2026-08-22T18:41:19.014,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-2-5-2666940a,edge_to_cloud,True,201,0.355091,
2026-08-22T18:41:19.015,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-2-6-13f21a39,edge_to_cloud,True,201,0.366324,
2026-08-22T18:41:19.016,4.1,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,TC06,cloud_restoration_scoped_edge_to_cloud_sync,183908,v41-TC02-2-7-2496a277,edge_to_cloud,True,201,0.433151,
